squad_id,squad_name,competition_id
1,Bournemouth,1
2,Chelsea,1
3,Sheffield Utd,1
4,Fulham,1
5,Luton Town,1
6,Brighton,1
7,West Ham,1
8,Nott'ham Forest,1
9,Crystal Palace,1
10,Wolves,1
11,Brentford,1
12,Manchester City,1
13,Liverpool,1
14,Newcastle Utd,1
15,Burnley,1
16,Manchester Utd,1
17,Aston Villa,1
18,Tottenham,1
19,Everton,1
20,Arsenal,1
21,Union Berlin,2
22,Eint Frankfurt,2
23,Freiburg,2
24,Koln,2
25,Dortmund,2
26,Leverkusen,2
27,Werder Bremen,2
28,Mainz 05,2
29,Hoffenheim,2
30,Wolfsburg,2
31,Stuttgart,2
32,Bochum,2
33,Darmstadt 98,2
34,Bayern Munich,2
35,Augsburg,2
36,RB Leipzig,2
37,Heidenheim,2
38,Gladbach,2
39,Marseille,3
40,Reims,3
41,Lens,3
42,Lorient,3
43,Nantes,3
44,Toulouse,3
45,Montpellier,3
46,Lyon,3
47,Monaco,3
48,Strasbourg,3
49,Nice,3
50,Le Havre,3
51,Clermont Foot,3
52,Metz,3
53,Brest,3
54,Lille,3
55,Paris S-G,3
56,Rennes,3
57,Getafe,4
58,Betis,4
59,Alaves,4
60,Sevilla,4
61,Athletic Club,4
62,Celta Vigo,4
63,Villarreal,4
64,Almeria,4
65,Real Madrid,4
66,Cadiz,4
67,Real Sociedad,4
68,Valencia,4
69,Barcelona,4
70,Mallorca,4
71,Granada,4
72,Las Palmas,4
73,Osasuna,4
74,Atletico Madrid,4
75,Rayo Vallecano,4
76,Girona,4
77,Roma,5
78,Inter,5
79,Milan,5
80,Bologna,5
81,Udinese,5
82,Monza,5
83,Genoa,5
84,Lazio,5
85,Juventus,5
86,Lecce,5
87,Fiorentina,5
88,Hellas Verona,5
89,Cagliari,5
90,Frosinone,5
91,Sassuolo,5
92,Atalanta,5
93,Empoli,5
94,Salernitana,5
95,Torino,5
96,Napoli,5
,,